Country;GDP_USD;Population;GDP_per_capita;Bunker_fuel_consumption_TBPD;Bunker_residual_fuel_oil_consumption_TBPD;Crude_oil_including_lease_condensate_exports_TBPD;Crude_oil_including_lease_condensate_imports_TBPD;Crude_oil_including_lease_condensate_production_TBPD;Crude_oil_including_lease_condensate_reserves_BB;Distillate_fuel_oil_consumption_TBPD;Distillate_fuel_oil_production_TBPD;Jet_fuel_consumption_TBPD;Jet_fuel_production_TBPD;Kerosene_consumption_TBPD;Kerosene_production_TBPD;Liquefied_petroleum_gases_(LPG)_consumption_TBPD;Liquefied_petroleum_gases_(LPG)_production_TBPD;Motor_gasoline_consumption_TBPD;Motor_gasoline_production_TBPD;Natural_gas_plant_liquids_production_TBPD;Other_liquids_production_TBPD;Other_refined_products_consumption_TBPD;Other_refined_products_production_TBPD;Petroleum_and_other_liquids_CO2_emissions_MMTCD;Petroleum_and_other_liquids_consumption_TBPD;Petroleum_and_other_liquids_production_TBPD;Refined_petroleum_products_consumption_TBPD;Refined_petroleum_products_production_TBPD;Refinery_processing_gain_TBPD;Residual_fuel_oil_consumption_TBPD;Residual_fuel_oil_production_TBPD;Biomass_and_waste_electricity_installed_capacity_MK;Biomass_and_waste_electricity_net_generation_BKWH;Electricity_distribution_losses_BKWH;Electricity_exports_BKWH;Electricity_imports_BKWH;Electricity_installed_capacity_MK;Electricity_net_consumption_BKWH;Electricity_net_generation_BKWH;Electricity_net_imports_BKWH;Fossil_fuels_electricity_installed_capacity_MK;Fossil_fuels_electricity_net_generation_BKWH;Geothermal_electricity_installed_capacity_MK;Geothermal_electricity_net_generation_BKWH;Hydroelectric_pumped_storage_electricity_installed_capacity_MK;Hydroelectric_pumped_storage_electricity_net_generation_BKWH;Hydroelectricity_installed_capacity_MK;Hydroelectricity_net_generation_BKWH;Non-hydro_renewable_electricity_installed_capacity_MK;Non-hydro_renewable_electricity_net_generation_BKWH;Nuclear_electricity_installed_capacity_MK;Nuclear_electricity_net_generation_BKWH;Renewable_electricity_installed_capacity_MK;Renewable_electricity_net_generation_BKWH;Solar_electricity_installed_capacity_MK;Solar_electricity_net_generation_BKWH;Tide_and_wave_electricity_installed_capacity_MK;Tide_and_wave_electricity_net_generation_BKWH;Wind_electricity_installed_capacity_MK;Wind_electricity_net_generation_BKWH
Albania;13228147516.12;2889104;4578.63;0.6;0;19;0.9;21;0.2;16;1.8;0.2;0;0;0;3.9;0;2.8;0;0;0;5.4;4.7;3.7;28;21;28;6.6;0;0.1;0.1;0;0;2.8;0.2;3.3;1.8;5;4.7;3.1;0.1;0;0;0;0;0;1.7;4.7;0;0;0;0;1.7;4.7;0;0;0;0;0;0
Algeria;213810024944.46;38923688;5493.06;14;3.8;581;6.4;1420;12;205;184;12;43;0;0;63;26;97;70;300;0;35;213;53;416;1722;416;658;1.8;4;120;0;0;11;0.9;0.7;16;49;60;-0.2;16;60;0;0;0;0;0.3;0.3;0;0;0;0;0.3;0.3;0;0;0;0;0;0
Angola;137244418012.55;26941773;5094.11;12;6.8;1632;0;1742;9.1;83;11;10;8.5;0.8;1.5;7.2;1;25;0.6;15;0;9.8;6.7;21;159;1756;159;47;-0.7;23;17;0;0;1.1;0;0;1.8;8.1;9.2;0;0.8;4.2;0;0;0;0;1;5;0;0;0;0;1;5;0;0;0;0;0;0
Argentina;526319673731.64;42669500;12334.80;48;26;49;9.5;532;2.8;232;173;33;29;0.5;0.3;56;39;122;123;104;65;221;204;101;764;713;764;661;12;99;93;0.2;1;18;0.2;10;38;123;131;9.9;25;92;0;0;1;-0.2;10;32;0.5;1.6;1.6;5.3;11;34;0;0;0;0;0.2;0.6
Australia;1467504819608.92;23475686;62511.69;14;13;224;441;353;1.4;433;213;139;82;0.6;0.1;61;16;320;241;58;7;148;42;150;1126;442;1126;607;23;23;12;0.8;3.5;12;0;0;68;229;242;0;50;205;0;0;2.6;0;5.7;18;9.9;18;0;0;16;36;5.3;4;0;0;3.8;10
Austria;442584815286.03;8546356;51786.38;0;0;0;152;17;0;152;81;14;13;0;0.4;3.4;2.2;38;43;1;8.9;41;39;35;257;31;257;196;3.7;9.4;17;2.1;5.1;3.4;17;27;24;64;58;9.3;5.8;11;0;0;5.2;-1.7;8.3;39;5;9.5;0;0;13;49;0.8;0.7;0;0;2.1;3.7
Azerbaijan;75244294275.15;9535079;7891.31;9.1;0;697;0;847;7;27;60;11;15;0.1;0;5;6;32;29;1;0;22;26;13;100;853;100;142;5;2.2;5.6;0;0.2;3.4;0.5;0.1;7.4;20;23;-0.4;6.3;22;0;0;0;0;1.1;1.3;0;0.2;0;0;1.1;1.5;0;0;0;0;0;0
Bahrain;33387712765.96;1336073;24989.44;9.9;1.5;154;211;202;0.1;6;81;9;63;1;0.5;2;1.9;17;18;11;0;21;69;8.1;58;216;58;272;2.9;2;39;0;0;1.1;0.2;0.2;7;25;26;0;7;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;172885454931.45;154517385;1118.87;8.8;1.8;0;27;4;0;66;7.4;7;0;6.1;4.9;0.6;0.4;3.9;1.4;0.2;0;2.9;5.8;17;111;4.1;111;26;0;24;5.8;0;0;6.8;0;2.3;9.4;48;53;2.3;9.1;52;0;0;0;0;0.2;0.6;0.1;0.2;0;0;0.4;0.8;0.1;0.2;0;0;0;0
Belarus;78813839984.35;9448515;8341.40;2.4;0;32;450;30;0.2;64;169;2.9;7.3;0;0.3;6;19;27;92;0;0.6;54;57;21;168;33;168;457;2.1;15;113;0;0.2;3.2;4.5;7.8;10;33;33;3.3;10;32;0;0;0;0;0;0.1;0;0.2;0;0;0;0.3;0;0;0;0;0;0
