Cod_Div;Latitud;Longitud;Region;Departamento;Municipio;Fecha;Hora;Temperatura;Velocidad_del_Viento;Direccion_del_Viento;Presion;Punto_de_Rocio;Cobertura_total_nubosa;Precipitacion_mm_h;Probabilidad_de_Tormenta;Humedad;Pronostico 
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;16:00;26.5;1.5;159.8;1012.7;21.2;70;0;0;72.7;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;17:00;25.6;0.9;226.2;1012.9;22.2;70;0;0;81.5;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;18:00;24.1;1.7;299.7;1013.7;21.7;70;0;0;86.5;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;19:00;23.4;1.8;310.3;1014.6;21.2;63.7;0;0;87.1;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;20:00;22.8;2.2;310;1015.2;20.3;60.1;0;0;85.9;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;21:00;22.2;2.2;310;1015.9;19.6;70;0;0;85.4;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;22:00;21.3;2.3;300;1016.3;18.5;70;0;0;84;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;25/08/2022;23:00;21;2.5;300;1016.2;18;70;0;0;82.6;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;0:00;21;2.3;300;1015.5;17.7;70;0;0;81.3;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;1:00;21.1;2.3;300;1014.8;17.6;70;0;0;80.2;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;2:00;21;2.1;299.9;1014.2;17.2;60;0;0;78.6;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;3:00;21.1;2.1;299.9;1013.9;16.9;70;0;0;77;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;4:00;21.3;2;300;1014;16.8;70;0;0;76;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;5:00;20.9;2.1;290;1014.6;16.4;70;0;0;75.2;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;6:00;21;2.1;299.9;1015.7;18.4;70;0;0;85;Parcialmente Nublado
50006000;3.99012;-73.765936;ORI;META;ACACÍAS;26/08/2022;7:00;21.6;1.6;299.8;1015.5;17.1;70;0;0;75.7;Parcialmente Nublado
